Roll,Name,Email,Branch
1401AI04,Ayush,Ayush@mycollege.in,AI
1401CB04,Shivangi,Shivangi@mycollege.in,CB
1401CE04,Rishi,Rishi@mycollege.in,CE
1401CH04,Shikhar,Shikhar@mycollege.in,CH
1401CS04,Deepika,Deepika@mycollege.in,CS
1401CT04,Sourabh,Sourabh@mycollege.in,CT
1401EC04,Nimesh,Nimesh@mycollege.in,EC
1401MC04,Kartik,Kartik@mycollege.in,MC
1401MM04,Apoorva,Apoorva@mycollege.in,MM
1401MT04,Mudit,Mudit@mycollege.in,MT
1401AI24,Siddharth,Siddharth@mycollege.in,AI
1401CB24,Akshat,Akshat@mycollege.in,CB
1401CE24,Priyanshu,Priyanshu@mycollege.in,CE
1401CH24,Rishab,Rishab@mycollege.in,CH
1401CS24,Alka,Alka@mycollege.in,CS
1401CT24,Khanak,Khanak@mycollege.in,CT
1401EC24,Devanshu,Devanshu@mycollege.in,EC
1401MC24,Desh,Desh@mycollege.in,MC
1401MM24,Chandra,Chandra@mycollege.in,MM
1401MT24,Kunaal,Kunaal@mycollege.in,MT
1401AI44,Shivani,Shivani@mycollege.in,AI
1401CB44,Pranjal,Pranjal@mycollege.in,CB
1401CE44,Vartika,Vartika@mycollege.in,CE
1401CH44,Danish,Danish@mycollege.in,CH
1401CS44,Madhav,Madhav@mycollege.in,CS
1401CT44,Shrishti,Shrishti@mycollege.in,CT
1401EC44,Mrithyunjay,Mrithyunjay@mycollege.in,EC
1401MC44,Kavish,Kavish@mycollege.in,MC
1401MM44,Chirayu,Chirayu@mycollege.in,MM
1401MT44,Manaswini,Manaswini@mycollege.in,MT
1401CH64,Tarun,Tarun@mycollege.in,CH
1401CS64,Aakash,Aakash@mycollege.in,CS
1401CT64,Priyam,Priyam@mycollege.in,CT
1401MC64,Manas,Manas@mycollege.in,MC
1401MM64,Asthana,Asthana@mycollege.in,MM
1401MT64,Priyamvada,Priyamvada@mycollege.in,MT
1401CH84,Kriti,Kriti@mycollege.in,CH
1401CS84,Satyarth,Satyarth@mycollege.in,CS
