Roll,Name,Email,Branch
1401AI19,Himanshu,Himanshu@mycollege.in,AI
1401CB19,Nikita,Nikita@mycollege.in,CB
1401CE19,Keshav,Keshav@mycollege.in,CE
1401CH19,Preeti,Preeti@mycollege.in,CH
1401CS19,Amrita,Amrita@mycollege.in,CS
1401CT19,Monti,Monti@mycollege.in,CT
1401EC19,Sanskar,Sanskar@mycollege.in,EC
1401MC19,Rama,Rama@mycollege.in,MC
1401MM19,Nishant,Nishant@mycollege.in,MM
1401MT19,Sumaiya,Sumaiya@mycollege.in,MT
1401AI39,Nidhi,Nidhi@mycollege.in,AI
1401CB39,Kunal,Kunal@mycollege.in,CB
1401CE39,Aayush,Aayush@mycollege.in,CE
1401CH39,Ahmad,Ahmad@mycollege.in,CH
1401CS39,Akarsh,Akarsh@mycollege.in,CS
1401CT39,Amaan,Amaan@mycollege.in,CT
1401EC39,Kamran,Kamran@mycollege.in,EC
1401MC39,Rajkumar,Rajkumar@mycollege.in,MC
1401MM39,Brahmaputra,Brahmaputra@mycollege.in,MM
1401MT39,Ranjan,Ranjan@mycollege.in,MT
1401CH59,Dinesh,Dinesh@mycollege.in,CH
1401CS59,Avinash,Avinash@mycollege.in,CS
1401CT59,Gargi,Gargi@mycollege.in,CT
1401MC59,Mayur,Mayur@mycollege.in,MC
1401MM59,Sharanya,Sharanya@mycollege.in,MM
1401MT59,Reshami,Reshami@mycollege.in,MT
1401CH79,Mukesh,Mukesh@mycollege.in,CH
1401CS79,Dimpal,Dimpal@mycollege.in,CS
1401MM79,Meet,Meet@mycollege.in,MM
