Roll,Name,Email,Branch
1401AI11,Muskan,Muskan@mycollege.in,AI
1401CB11,Akanksha,Akanksha@mycollege.in,CB
1401CE11,Shaurya,Shaurya@mycollege.in,CE
1401CH11,Deependra,Deependra@mycollege.in,CH
1401CS11,Ritesh,Ritesh@mycollege.in,CS
1401CT11,Vipul,Vipul@mycollege.in,CT
1401EC11,Mallika,Mallika@mycollege.in,EC
1401MC11,Ashok,Ashok@mycollege.in,MC
1401MM11,Dushyant,Dushyant@mycollege.in,MM
1401MT11,Kanha,Kanha@mycollege.in,MT
1401AI31,Yash,Yash@mycollege.in,AI
1401CB31,Arpit,Arpit@mycollege.in,CB
1401CE31,Shreyansh,Shreyansh@mycollege.in,CE
1401CH31,Ashwani,Ashwani@mycollege.in,CH
1401CS31,Aadharsh,Aadharsh@mycollege.in,CS
1401CT31,Saloni,Saloni@mycollege.in,CT
1401EC31,Deepali,Deepali@mycollege.in,EC
1401MC31,Vinay,Vinay@mycollege.in,MC
1401MM31,Abhedhya,Abhedhya@mycollege.in,MM
1401MT31,Omhari,Omhari@mycollege.in,MT
1401CE51,Vikas,Vikas@mycollege.in,CE
1401CH51,Vishnu,Vishnu@mycollege.in,CH
1401CS51,Sandhya,Sandhya@mycollege.in,CS
1401CT51,Anita,Anita@mycollege.in,CT
1401EC51,Jagadeesh,Jagadeesh@mycollege.in,EC
1401MC51,Seshikanth,Seshikanth@mycollege.in,MC
1401MM51,Anusha,Anusha@mycollege.in,MM
1401MT51,Nishu,Nishu@mycollege.in,MT
1401CH71,Shubhi,Shubhi@mycollege.in,CH
1401CS71,Ayushman,Ayushman@mycollege.in,CS
1401MC71,Renu,Renu@mycollege.in,MC
1401MM71,Arish,Arish@mycollege.in,MM
1401MT71,Shagufta,Shagufta@mycollege.in,MT
1401CS91,Ujjwal,Ujjwal@mycollege.in,CS
