Roll,Name,Email,Branch
1401AI05,Aditi,Aditi@mycollege.in,AI
1401CB05,Ashutosh,Ashutosh@mycollege.in,CB
1401CE05,Pragati,Pragati@mycollege.in,CE
1401CH05,Jitendra,Jitendra@mycollege.in,CH
1401CS05,Astha,Astha@mycollege.in,CS
1401CT05,Sonu,Sonu@mycollege.in,CT
1401EC05,Prabhakar,Prabhakar@mycollege.in,EC
1401MC05,Kartikeya,Kartikeya@mycollege.in,MC
1401MM05,Hemlata,Hemlata@mycollege.in,MM
1401MT05,Mubasshira,Mubasshira@mycollege.in,MT
1401AI25,Prashant,Prashant@mycollege.in,AI
1401CB25,Ishika,Ishika@mycollege.in,CB
1401CE25,Kshitij,Kshitij@mycollege.in,CE
1401CH25,Shashwat,Shashwat@mycollege.in,CH
1401CS25,Indora,Indora@mycollege.in,CS
1401CT25,Megha,Megha@mycollege.in,CT
1401EC25,Devansh,Devansh@mycollege.in,EC
1401MC25,Raashi,Raashi@mycollege.in,MC
1401MM25,Ayesha,Ayesha@mycollege.in,MM
1401MT25,Ishwa,Ishwa@mycollege.in,MT
1401AI45,Prakhar,Prakhar@mycollege.in,AI
1401CB45,Isha,Isha@mycollege.in,CB
1401CE45,Aviral,Aviral@mycollege.in,CE
1401CH45,Tamanna,Tamanna@mycollege.in,CH
1401CS45,Divyam,Divyam@mycollege.in,CS
1401CT45,Amrit,Amrit@mycollege.in,CT
1401EC45,Nishtha,Nishtha@mycollege.in,EC
1401MC45,Monica,Monica@mycollege.in,MC
1401MM45,Sameeksha,Sameeksha@mycollege.in,MM
1401MT45,Neelu,Neelu@mycollege.in,MT
1401CH65,Samarth,Samarth@mycollege.in,CH
1401CS65,Ayan,Ayan@mycollege.in,CS
1401MC65,Surbhi,Surbhi@mycollege.in,MC
1401MM65,Asmita,Asmita@mycollege.in,MM
1401MT65,Rajneesh,Rajneesh@mycollege.in,MT
1401CS85,Satyam,Satyam@mycollege.in,CS
