Roll,Name,Email,Branch
1401AI14,Vaibhav,Vaibhav@mycollege.in,AI
1401CB14,Tanya,Tanya@mycollege.in,CB
1401CE14,Mayank,Mayank@mycollege.in,CE
1401CH14,Diksha,Diksha@mycollege.in,CH
1401CS14,Anmol,Anmol@mycollege.in,CS
1401CT14,Virat,Virat@mycollege.in,CT
1401EC14,Manshi,Manshi@mycollege.in,EC
1401MC14,Lalit,Lalit@mycollege.in,MC
1401MM14,Chandran,Chandran@mycollege.in,MM
1401MT14,Elamathi,Elamathi@mycollege.in,MT
1401AI34,Anurag,Anurag@mycollege.in,AI
1401CB34,Deepak,Deepak@mycollege.in,CB
1401CE34,Vidya,Vidya@mycollege.in,CE
1401CH34,Harshvardhan,Harshvardhan@mycollege.in,CH
1401CS34,Nethaji,Nethaji@mycollege.in,CS
1401CT34,Purnima,Purnima@mycollege.in,CT
1401EC34,Karishma,Karishma@mycollege.in,EC
1401MC34,Thaanya,Thaanya@mycollege.in,MC
1401MM34,Rupal,Rupal@mycollege.in,MM
1401MT34,Harshada,Harshada@mycollege.in,MT
1401CE54,Shivansh,Shivansh@mycollege.in,CE
1401CH54,Kaif,Kaif@mycollege.in,CH
1401CS54,Aparna,Aparna@mycollege.in,CS
1401CT54,Kritika,Kritika@mycollege.in,CT
1401EC54,Shreyas,Shreyas@mycollege.in,EC
1401MC54,Kapil,Kapil@mycollege.in,MC
1401MM54,Shwetanshi,Shwetanshi@mycollege.in,MM
1401MT54,Nihal,Nihal@mycollege.in,MT
1401CH74,Kanika,Kanika@mycollege.in,CH
1401CS74,Jaswant,Jaswant@mycollege.in,CS
1401MC74,Abhimanyu,Abhimanyu@mycollege.in,MC
1401MM74,Shaileja,Shaileja@mycollege.in,MM
1401MT74,Jenamani,Jenamani@mycollege.in,MT
1401CS94,Srishti,Srishti@mycollege.in,CS
