Roll,Name,Email,Branch
1401AI12,Rahul,Rahul@mycollege.in,AI
1401CB12,Neeraj,Neeraj@mycollege.in,CB
1401CE12,Kashish,Kashish@mycollege.in,CE
1401CH12,Anoop,Anoop@mycollege.in,CH
1401CS12,Bhumika,Bhumika@mycollege.in,CS
1401CT12,Vipin,Vipin@mycollege.in,CT
1401EC12,Mahima,Mahima@mycollege.in,EC
1401MC12,Suresh,Suresh@mycollege.in,MC
1401MM12,Anshuman,Anshuman@mycollege.in,MM
1401MT12,Khalid,Khalid@mycollege.in,MT
1401AI32,Shreya,Shreya@mycollege.in,AI
1401CB32,Ankita,Ankita@mycollege.in,CB
1401CE32,Atul,Atul@mycollege.in,CE
1401CH32,Stuti,Stuti@mycollege.in,CH
1401CS32,Amarnath,Amarnath@mycollege.in,CS
1401CT32,Prachi,Prachi@mycollege.in,CT
1401EC32,Faizan,Faizan@mycollege.in,EC
1401MC32,Sreekanth,Sreekanth@mycollege.in,MC
1401MM32,Gnaneswar,Gnaneswar@mycollege.in,MM
1401MT32,Pranidhi,Pranidhi@mycollege.in,MT
1401CE52,Vanshika,Vanshika@mycollege.in,CE
1401CH52,Surya,Surya@mycollege.in,CH
1401CS52,Uttam,Uttam@mycollege.in,CS
1401CT52,Anupriya,Anupriya@mycollege.in,CT
1401EC52,Indu,Indu@mycollege.in,EC
1401MC52,Kalpana,Kalpana@mycollege.in,MC
1401MM52,Anunay,Anunay@mycollege.in,MM
1401MT52,Noorsaba,Noorsaba@mycollege.in,MT
1401CH72,Siddhant,Siddhant@mycollege.in,CH
1401CS72,Geeta,Geeta@mycollege.in,CS
1401MC72,Farhan,Farhan@mycollege.in,MC
1401MM72,Shyamali,Shyamali@mycollege.in,MM
1401MT72,Shaad,Shaad@mycollege.in,MT
1401CS92,Tanu,Tanu@mycollege.in,CS
