Roll,Name,Email,Branch
1401AI18,Shruti,Shruti@mycollege.in,AI
1401CB18,Aniket,Aniket@mycollege.in,CB
1401CE18,Anshu,Anshu@mycollege.in,CE
1401CH18,Nitish,Nitish@mycollege.in,CH
1401CS18,Amisha,Amisha@mycollege.in,CS
1401CT18,Vibhanshu,Vibhanshu@mycollege.in,CT
1401EC18,Satvik,Satvik@mycollege.in,EC
1401MC18,Dhananjay,Dhananjay@mycollege.in,MC
1401MM18,Ali,Ali@mycollege.in,MM
1401MT18,Suchita,Suchita@mycollege.in,MT
1401AI38,Aditya,Aditya@mycollege.in,AI
1401CB38,Kavya,Kavya@mycollege.in,CB
1401CE38,Vikash,Vikash@mycollege.in,CE
1401CH38,Mahendra,Mahendra@mycollege.in,CH
1401CS38,Abhyuday,Abhyuday@mycollege.in,CS
1401CT38,Tanishq,Tanishq@mycollege.in,CT
1401EC38,Jahanvi,Jahanvi@mycollege.in,EC
1401MC38,Rajiv,Rajiv@mycollege.in,MC
1401MM38,Rupeshwary,Rupeshwary@mycollege.in,MM
1401MT38,Meenu,Meenu@mycollege.in,MT
1401CH58,Ritu,Ritu@mycollege.in,CH
1401CS58,Yashaswi,Yashaswi@mycollege.in,CS
1401CT58,Hariom,Hariom@mycollege.in,CT
1401MC58,Tejas,Tejas@mycollege.in,MC
1401MM58,Jahangeer,Jahangeer@mycollege.in,MM
1401MT58,Joy,Joy@mycollege.in,MT
1401CH78,Naman,Naman@mycollege.in,CH
1401CS78,Divakar,Divakar@mycollege.in,CS
1401MM78,Madhusri,Madhusri@mycollege.in,MM
1401MT78,Kushan,Kushan@mycollege.in,MT
