Roll,Name,Email,Branch
1401AI07,Shubham,Shubham@mycollege.in,AI
1401CB07,Divya,Divya@mycollege.in,CB
1401CE07,Lakshya,Lakshya@mycollege.in,CE
1401CH07,Abhay,Abhay@mycollege.in,CH
1401CS07,Mahek,Mahek@mycollege.in,CS
1401CT07,Satendra,Satendra@mycollege.in,CT
1401EC07,Neetika,Neetika@mycollege.in,EC
1401MC07,Mani,Mani@mycollege.in,MC
1401MM07,Sathwika,Sathwika@mycollege.in,MM
1401MT07,Monish,Monish@mycollege.in,MT
1401AI27,Harshit,Harshit@mycollege.in,AI
1401CB27,Palak,Palak@mycollege.in,CB
1401CE27,Ishan,Ishan@mycollege.in,CE
1401CH27,Supriya,Supriya@mycollege.in,CH
1401CS27,Anwar,Anwar@mycollege.in,CS
1401CT27,Pakhi,Pakhi@mycollege.in,CT
1401EC27,Dhruv,Dhruv@mycollege.in,EC
1401MC27,Laxmi,Laxmi@mycollege.in,MC
1401MM27,Sanjeeda,Sanjeeda@mycollege.in,MM
1401MT27,Sawan,Sawan@mycollege.in,MT
1401CB47,Kishan,Kishan@mycollege.in,CB
1401CE47,Sumeet,Sumeet@mycollege.in,CE
1401CH47,Sachin,Sachin@mycollege.in,CH
1401CS47,Annanya,Annanya@mycollege.in,CS
1401CT47,Archana,Archana@mycollege.in,CT
1401EC47,Ramanakanth,Ramanakanth@mycollege.in,EC
1401MC47,Lakshmi,Lakshmi@mycollege.in,MC
1401MM47,Chhavi,Chhavi@mycollege.in,MM
1401MT47,Eshma,Eshma@mycollege.in,MT
1401CH67,Udit,Udit@mycollege.in,CH
1401CS67,Vertika,Vertika@mycollege.in,CS
1401MC67,Amar,Amar@mycollege.in,MC
1401MM67,Zeal,Zeal@mycollege.in,MM
1401MT67,Rouby,Rouby@mycollege.in,MT
1401CS87,Shikha,Shikha@mycollege.in,CS
