Roll,Name,Email,Branch
1401MM29,Vardhamann,Vardhamann@mycollege.in,MM
1401MM30,Sairam,Sairam@mycollege.in,MM
1401MM31,Abhedhya,Abhedhya@mycollege.in,MM
1401MM32,Gnaneswar,Gnaneswar@mycollege.in,MM
1401MM33,Sara,Sara@mycollege.in,MM
1401MM34,Rupal,Rupal@mycollege.in,MM
1401MM35,Sahaj,Sahaj@mycollege.in,MM
1401MM36,Robin,Robin@mycollege.in,MM
1401MM37,Rupanjali,Rupanjali@mycollege.in,MM
1401MM38,Rupeshwary,Rupeshwary@mycollege.in,MM
1401MM39,Brahmaputra,Brahmaputra@mycollege.in,MM
1401MM40,Hariharan,Hariharan@mycollege.in,MM
1401MM41,Pranav,Pranav@mycollege.in,MM
1401MM42,Babu,Babu@mycollege.in,MM
1401MM43,Bibhu,Bibhu@mycollege.in,MM
1401MM44,Chirayu,Chirayu@mycollege.in,MM
1401MM45,Sameeksha,Sameeksha@mycollege.in,MM
1401MM46,Ashmita,Ashmita@mycollege.in,MM
1401MM47,Chhavi,Chhavi@mycollege.in,MM
1401MM48,Shreepriya,Shreepriya@mycollege.in,MM
1401MM49,Nahid,Nahid@mycollege.in,MM
1401MM50,Sharique,Sharique@mycollege.in,MM
1401MM51,Anusha,Anusha@mycollege.in,MM
1401MM52,Anunay,Anunay@mycollege.in,MM
1401MM53,Vidit,Vidit@mycollege.in,MM
1401MM54,Shwetanshi,Shwetanshi@mycollege.in,MM
1401MM55,Anshit,Anshit@mycollege.in,MM
1401MM56,Anubhuti,Anubhuti@mycollege.in,MM
1401MM57,Vashif,Vashif@mycollege.in,MM
1401MM58,Jahangeer,Jahangeer@mycollege.in,MM
1401MM59,Sharanya,Sharanya@mycollege.in,MM
1401MM60,Saudamini,Saudamini@mycollege.in,MM
1401MM61,Arshad,Arshad@mycollege.in,MM
1401MM62,Yeram,Yeram@mycollege.in,MM
