Roll,Name,Email,Branch
1401AI15,Amit,Amit@mycollege.in,AI
1401CB15,Nisha,Nisha@mycollege.in,CB
1401CE15,Jyoti,Jyoti@mycollege.in,CE
1401CH15,Muskaan,Muskaan@mycollege.in,CH
1401CS15,Aayushi,Aayushi@mycollege.in,CS
1401CT15,Varsha,Varsha@mycollege.in,CT
1401EC15,Prakhyat,Prakhyat@mycollege.in,EC
1401MC15,Urmila,Urmila@mycollege.in,MC
1401MM15,Anshul,Anshul@mycollege.in,MM
1401MT15,Vasundhara,Vasundhara@mycollege.in,MT
1401AI35,Vivek,Vivek@mycollege.in,AI
1401CB35,Priyanka,Priyanka@mycollege.in,CB
1401CE35,Shubhangi,Shubhangi@mycollege.in,CE
1401CH35,Ajit,Ajit@mycollege.in,CH
1401CS35,Chetna,Chetna@mycollege.in,CS
1401CT35,Prajjwal,Prajjwal@mycollege.in,CT
1401EC35,Madhuri,Madhuri@mycollege.in,EC
1401MC35,Rakesh,Rakesh@mycollege.in,MC
1401MM35,Sahaj,Sahaj@mycollege.in,MM
1401MT35,Prathmesh,Prathmesh@mycollege.in,MT
1401CE55,Sunil,Sunil@mycollege.in,CE
1401CH55,Pooja,Pooja@mycollege.in,CH
1401CS55,Disha,Disha@mycollege.in,CS
1401CT55,Jaya,Jaya@mycollege.in,CT
1401MC55,Subash,Subash@mycollege.in,MC
1401MM55,Anshit,Anshit@mycollege.in,MM
1401MT55,Devyanti,Devyanti@mycollege.in,MT
1401CH75,Aishwarya,Aishwarya@mycollege.in,CH
1401CS75,Hemanshu,Hemanshu@mycollege.in,CS
1401MC75,Faraz,Faraz@mycollege.in,MC
1401MM75,Gitanshu,Gitanshu@mycollege.in,MM
1401MT75,Sadiya,Sadiya@mycollege.in,MT
1401CS95,Suryakant,Suryakant@mycollege.in,CS
