Roll,Name,Email,Branch
1401AI10,Saurabh,Saurabh@mycollege.in,AI
1401CB10,Ajay,Ajay@mycollege.in,CB
1401CE10,Ishita,Ishita@mycollege.in,CE
1401CH10,Manu,Manu@mycollege.in,CH
1401CS10,Adil,Adil@mycollege.in,CS
1401CT10,Sudheer,Sudheer@mycollege.in,CT
1401EC10,Nilesh,Nilesh@mycollege.in,EC
1401MC10,Surendra,Surendra@mycollege.in,MC
1401MM10,Deep,Deep@mycollege.in,MM
1401MT10,Toshit,Toshit@mycollege.in,MT
1401AI30,Varun,Varun@mycollege.in,AI
1401CB30,Ravi,Ravi@mycollege.in,CB
1401CE30,Vaishnavi,Vaishnavi@mycollege.in,CE
1401CH30,Srijan,Srijan@mycollege.in,CH
1401CS30,Dalia,Dalia@mycollege.in,CS
1401CT30,Sapna,Sapna@mycollege.in,CT
1401EC30,Dev,Dev@mycollege.in,EC
1401MC30,Mridul,Mridul@mycollege.in,MC
1401MM30,Sairam,Sairam@mycollege.in,MM
1401MT30,Pradium,Pradium@mycollege.in,MT
1401CB50,Neelesh,Neelesh@mycollege.in,CB
1401CE50,Neha,Neha@mycollege.in,CE
1401CH50,Shoaib,Shoaib@mycollege.in,CH
1401CS50,Nithisha,Nithisha@mycollege.in,CS
1401CT50,Anubhav,Anubhav@mycollege.in,CT
1401EC50,Rohith,Rohith@mycollege.in,EC
1401MC50,Sahil,Sahil@mycollege.in,MC
1401MM50,Sharique,Sharique@mycollege.in,MM
1401MT50,Nitya,Nitya@mycollege.in,MT
1401CH70,Sameer,Sameer@mycollege.in,CH
1401CS70,Vishesh,Vishesh@mycollege.in,CS
1401MC70,Venkata,Venkata@mycollege.in,MC
1401MM70,Archi,Archi@mycollege.in,MM
1401MT70,Saumile,Saumile@mycollege.in,MT
1401CS90,Sushant,Sushant@mycollege.in,CS
