Roll,Name,Email,Branch
1401AI16,Saumya,Saumya@mycollege.in,AI
1401CB16,Arun,Arun@mycollege.in,CB
1401CE16,Parul,Parul@mycollege.in,CE
1401CH16,Divyansh,Divyansh@mycollege.in,CH
1401CS16,Akshay,Akshay@mycollege.in,CS
1401CT16,Sunny,Sunny@mycollege.in,CT
1401EC16,Saket,Saket@mycollege.in,EC
1401MC16,Sudhakar,Sudhakar@mycollege.in,MC
1401MM16,Saanchi,Saanchi@mycollege.in,MM
1401MT16,Kandarp,Kandarp@mycollege.in,MT
1401AI36,Swati,Swati@mycollege.in,AI
1401CB36,Khushi,Khushi@mycollege.in,CB
1401CE36,Mohsin,Mohsin@mycollege.in,CE
1401CH36,Poornima,Poornima@mycollege.in,CH
1401CS36,Aastha,Aastha@mycollege.in,CS
1401CT36,Satya,Satya@mycollege.in,CT
1401EC36,Maaz,Maaz@mycollege.in,EC
1401MC36,Pinky,Pinky@mycollege.in,MC
1401MM36,Robin,Robin@mycollege.in,MM
1401MT36,Ritank,Ritank@mycollege.in,MT
1401CE56,Juhi,Juhi@mycollege.in,CE
1401CH56,Gayathri,Gayathri@mycollege.in,CH
1401CS56,Seema,Seema@mycollege.in,CS
1401CT56,Namrata,Namrata@mycollege.in,CT
1401MC56,Raunak,Raunak@mycollege.in,MC
1401MM56,Anubhuti,Anubhuti@mycollege.in,MM
1401MT56,Nishchay,Nishchay@mycollege.in,MT
1401CH76,Rajat,Rajat@mycollege.in,CH
1401CS76,Bhoopendra,Bhoopendra@mycollege.in,CS
1401MM76,Mansoon,Mansoon@mycollege.in,MM
1401MT76,Saksham,Saksham@mycollege.in,MT
