Roll,Name,Email,Branch
1401CB28,Ankur,Ankur@mycollege.in,CB
1401CB29,Richa,Richa@mycollege.in,CB
1401CB30,Ravi,Ravi@mycollege.in,CB
1401CB31,Arpit,Arpit@mycollege.in,CB
1401CB32,Ankita,Ankita@mycollege.in,CB
1401CB33,Shraddha,Shraddha@mycollege.in,CB
1401CB34,Deepak,Deepak@mycollege.in,CB
1401CB35,Priyanka,Priyanka@mycollege.in,CB
1401CB36,Khushi,Khushi@mycollege.in,CB
1401CB37,Shweta,Shweta@mycollege.in,CB
1401CB38,Kavya,Kavya@mycollege.in,CB
1401CB39,Kunal,Kunal@mycollege.in,CB
1401CB40,Dheeraj,Dheeraj@mycollege.in,CB
1401CB41,Akshita,Akshita@mycollege.in,CB
1401CB42,Riya,Riya@mycollege.in,CB
1401CB43,Sneha,Sneha@mycollege.in,CB
1401CB44,Pranjal,Pranjal@mycollege.in,CB
1401CB45,Isha,Isha@mycollege.in,CB
1401CB46,Sumit,Sumit@mycollege.in,CB
1401CB47,Kishan,Kishan@mycollege.in,CB
1401CB48,Pawan,Pawan@mycollege.in,CB
1401CB49,Soumya,Soumya@mycollege.in,CB
1401CB50,Neelesh,Neelesh@mycollege.in,CB
1401AI01,Abhishek,Abhishek@mycollege.in,AI
1401AI02,Aman,Aman@mycollege.in,AI
1401AI03,Harsh,Harsh@mycollege.in,AI
1401AI04,Ayush,Ayush@mycollege.in,AI
1401AI05,Aditi,Aditi@mycollege.in,AI
1401AI06,Anjali,Anjali@mycollege.in,AI
1401AI07,Shubham,Shubham@mycollege.in,AI
1401AI08,Anushka,Anushka@mycollege.in,AI
1401AI09,Rohit,Rohit@mycollege.in,AI
1401AI10,Saurabh,Saurabh@mycollege.in,AI
1401AI11,Muskan,Muskan@mycollege.in,AI
