Roll,Name,Email,Branch
1401CS71,Ayushman,Ayushman@mycollege.in,CS
1401CS72,Geeta,Geeta@mycollege.in,CS
1401CS73,Divyanshu,Divyanshu@mycollege.in,CS
1401CS74,Jaswant,Jaswant@mycollege.in,CS
1401CS75,Hemanshu,Hemanshu@mycollege.in,CS
1401CS76,Bhoopendra,Bhoopendra@mycollege.in,CS
1401CS77,Bhawana,Bhawana@mycollege.in,CS
1401CS78,Divakar,Divakar@mycollege.in,CS
1401CS79,Dimpal,Dimpal@mycollege.in,CS
1401CS80,Shrestha,Shrestha@mycollege.in,CS
1401CS81,Shivanshi,Shivanshi@mycollege.in,CS
1401CS82,Shubh,Shubh@mycollege.in,CS
1401CS83,Shreyash,Shreyash@mycollege.in,CS
1401CS84,Satyarth,Satyarth@mycollege.in,CS
1401CS85,Satyam,Satyam@mycollege.in,CS
1401CS86,Shilpa,Shilpa@mycollege.in,CS
1401CS87,Shikha,Shikha@mycollege.in,CS
1401CS88,Soniya,Soniya@mycollege.in,CS
1401CS89,Tanay,Tanay@mycollege.in,CS
1401CS90,Sushant,Sushant@mycollege.in,CS
1401CS91,Ujjwal,Ujjwal@mycollege.in,CS
1401CS92,Tanu,Tanu@mycollege.in,CS
1401CS93,Subham,Subham@mycollege.in,CS
1401CS94,Srishti,Srishti@mycollege.in,CS
1401CS95,Suryakant,Suryakant@mycollege.in,CS
1401CH01,Nitesh,Nitesh@mycollege.in,CH
1401CH02,Ganesh,Ganesh@mycollege.in,CH
1401CH03,Naveen,Naveen@mycollege.in,CH
1401CH04,Shikhar,Shikhar@mycollege.in,CH
1401CH05,Jitendra,Jitendra@mycollege.in,CH
1401CH06,Chirag,Chirag@mycollege.in,CH
1401CH07,Abhay,Abhay@mycollege.in,CH
1401CH08,Lucky,Lucky@mycollege.in,CH
1401CH09,Smriti,Smriti@mycollege.in,CH
1401CH10,Manu,Manu@mycollege.in,CH
